"SOCCER NUMBER","NAME","TEAM","POSITION","MATCHES PLAYED","GOALS","ASSISTS","YELLOW CARDS","RED CARDS","CYCLE RC","MINUTES PLAYED","NATIONALITY","AGE","HEIGHT","WEIGHT"
"20","Asisat Oshoala Mon","FC Barcelona","DEL","19","19","2","0","0","5","1109","Nigeria","28","1.73","70"
"16","Ane Azkona Fuente","Athletic Club","DEL","14","2","1","2","0","3","1056","Spain","24","1.64","56"
"10","Inma Gabarro","Sevilla FC","DEL","18","4","2","1","0","4","1047","Spain","20","1.66","55"
"11","Miriam Rodríguez González","Alhama CF El Pozo","DEL","18","2","0","1","0","4","1029","Spain","28","1.6","54"
"9","Jone Amezaga Martínez","Athletic Club","DEL","15","5","0","0","0","5","1024","Spain","18","0","0"
"9","Gabriela Nunes da Silva","Madrid CFF","DEL","20","7","4","3","0","2","1012","Brasil","25","1.69","56"
"22","Grace Chanda","Madrid CFF","DEL","18","3","1","1","0","4","1001","Zambia","25","1.6","52"
"19","Sara Carrillo Moreno","Deportivo Alavés","DEL","18","3","0","1","0","4","995","Spain","20","0","0"
"10","Jassina Blom","UDG Tenerife Egatesa","DEL","18","6","0","2","0","3","995","Belgium","29","1.68","56"
"7","Belén Martínez Sousa","Villarreal CF","DEL","20","4","0","0","0","5","983","Spain","34","0","0"
"9","Mariona Caldentey Oliver","FC Barcelona","DEL","14","6","5","1","0","4","964","Spain","26","1.64","62"
"20","Naomie Feller","Real Madrid","DEL","16","4","1","1","0","4","955","France","21","1.7","65"
"10","Fatoumata Kanteh I Cham","Villarreal CF","DEL","19","1","2","0","0","5","952","Spain","25","1.68","63"
"22","Ainize Barea Núñez","Athletic Club","DEL","18","2","1","0","0","5","941","Spain","31","1.55","53"
"9","Sanni Maija Franssi","Real Sociedad","DEL","19","1","3","0","0","5","939","Finland","27","1.74","63"
"9","Marta San Adrián Rocandio","Deportivo Alavés","DEL","16","4","3","1","0","4","907","Spain","23","1.73","64"
"12","Natalia Montilla Martinez","Real Betis","DEL","15","2","1","2","0","3","901","Spain","24","0","0"
"20","Paula Arana Montes","Athletic Club","DEL","18","3","0","0","0","5","892","Spain","21","1.72","60"
"18","Geyse Da Silva Ferreira","FC Barcelona","DEL","16","6","1","2","0","3","868","Brasil","24","1.69","58"
"18","Carmen Álvarez Sánchez","Real Betis","DEL","19","0","1","2","0","3","865","Spain","20","0","0"
"8","Jessica Martínez Villagra","Sevilla FC","DEL","20","5","2","3","0","2","833","Paraguay","23","1.64","60"
"9","María Ruiz Gámez","CD Sporting de Huelva","DEL","13","1","1","1","0","4","823","Spain","22","1.65","58"
"8","Ana Lucía De Teresa Romer...","CD Sporting de Huelva","DEL","16","2","0","0","0","5","751","Spain","21","1.66","66"
"18","Lice Fabiana Chamorro Gó...","Deportivo Alavés","DEL","19","0","0","3","0","2","695","Paraguay","24","1.72","59"
"18","Lucía Pardo Méndez","Madrid CFF","DEL","17","4","3","1","0","4","665","Spain","23","0","0"
"12","Bárbara López Gorrado","CD Sporting de Huelva","DEL","18","1","3","2","0","3","653","Spain","17","1.63","62"
"24","Gift Monday","UDG Tenerife Egatesa","DEL","10","0","1","0","0","5","646","Nigeria","21","1.68","59"
"9","Nahikari García Pérez","Real Madrid","DEL","19","6","2","1","0","4","636","Spain","25","1.61","53"
"23","Erika González Lombídez","Levante UD","DEL","17","8","6","0","0","5","605","Spain","18","0","0"
"6","Pilar Garrote Camuñez","FC Levante Las Planas","DEL","11","1","2","1","0","4","585","Spain","25","1.58","60"
"17","Salma Paralluelo Ayingono","FC Barcelona","DEL","12","8","2","0","0","5","535","Spain","19","1.74","62"
